Sparus aurata,spondyliosoma cantharus,Dicentrarchus punctatus,Halobatrachus didactylus,Anguilla anguilla,Dentex dentex,Belone belone,Dicentrarchus labrax,Solea senegalensis,Diplodus annullaris,Diplodus vulgaris,Atherina cf. boyeri,Mullus barbatus,Diplodus sargus,Sarpa salpa,labrus sp,gobidae sp,Engraulis encrasicholus,Sardina pilchardus,Chelon labrosus
Dourada ,Choupa,baila,toadfish,Eel,Pargo,garfish,Seabass,sole,Mucharra,Safia,silverside,red mullet,Sargo,Salema,wrasse,goby,anchovy,sardine,grey mullet
60.5,33.3,,,,,,,,13.8,,,,,,13.9,23.5,,9.7,23.4
53.2,31.8,,,,,,,,22.3,,,,,,5.5,17.8,,10.8,20.4
47.9,24.8,,,,,,,,22.3,,,,,,16.3,13.7,,10.1,16.4
42.5,30.5,,,,,,,,13.4,,,,,,25.2,19.5,,9.4,29
60.2,28.9,,,,,,,,32.7,,,,,,,14.9,,9.6,11.5
81.7,28.3,,,,,,,,21,,,,,,,16,,10.1,22.6
48,42.3,,,,,,,,78.1,,,,,,,7.1,,8.1,15.3
67.6,32.9,,,,,,,,88.3,,,,,,,7.1,,10.9,18.7
59.4,23.3,,,,,,,,101.4,,,,,,,12.6,,11.1,23.5
58.5,33.2,,,,,,,,24.5,,,,,,,16,,10.6,15
49.8,33.9,,,,,,,,23.2,,,,,,,19.5,,11.3,20.7
78.9,38.6,,,,,,,,20.2,,,,,,,21.1,,9,19.1
59,32,,,,,,,,17.4,,,,,,,21.5,,8.9,80.2
55.3,27,,,,,,,,17,,,,,,,15.6,,10.1,2026
51.6,30.5,,,,,,,,10.5,,,,,,,3.3,,9.1,51.3
54.6,30,,,,,,,,22.3,,,,,,,4.3,,9.4,33
66.4,30.3,,,,,,,,18.3,,,,,,,4.8,,10.9,44.6
47.2,27.2,,,,,,,,20.5,,,,,,,13.1,,8.3,45
63.4,29,,,,,,,,25.1,,,,,,,4.7,,8.8,62
41.9,30.3,,,,,,,,19.2,,,,,,,6,,8.8,67.2
54.6,25.2,,,,,,,,14,,,,,,,4.8,,9.9,55.9
63.8,25.5,,,,,,,,16.5,,,,,,,6.3,,11.4,67
56.4,36.6,,,,,,,,13.8,,,,,,,22.2,,10.8,35.1
64.9,27.3,,,,,,,,18.3,,,,,,,18.6,,10.3,27.8
59.9,19.1,,,,,,,,18,,,,,,,5.5,,10.3,42
49.9,99.7,,,,,,,,25.8,,,,,,,9.8,,9.7,37.2
55.2,32,,,,,,,,22,,,,,,,12.8,,13.1,66.8
48.4,71.9,,,,,,,,14.1,,,,,,,11.2,,10.2,341.2
53,30.3,,,,,,,,25.1,,,,,,,9.5,,9.5,389.1
50.3,80.7,,,,,,,,27.1,,,,,,,6.2,,11.2,345.9
38.2,31.3,,,,,,,,22.5,,,,,,,8,,8.4,201.3
57.1,38.6,,,,,,,,15.6,,,,,,,6.4,,10.1,191.1
44.2,25.5,,,,,,,,22.2,,,,,,,7,,10.8,
38.4,18.7,,,,,,,,8,,,,,,,8.4,,10.3,
61.4,33.9,,,,,,,,7.9,,,,,,,5.8,,10.8,
1.2,20.5,,,,,,,,17.8,,,,,,,1.7,,11.4,
56.6,27.9,,,,,,,,17.7,,,,,,,4.6,,9.4,
54.6,32,,,,,,,,8.5,,,,,,,14.8,,10.1,
54.3,35,,,,,,,,18,,,,,,,3.7,,8.9,
56.3,34.5,,,,,,,,24,,,,,,,3,,9,
47.4,30.8,,,,,,,,19.3,,,,,,,12,,17.53,
64.6,25,,,,,,,,21.1,,,,,,,5.4,,17.53,
58.8,40.5,,,,,,,,31.6,,,,,,,6.4,,17.53,
5.6,30.9,,,,,,,,8.6,,,,,,,5.7,,17.53,
42.8,29.9,,,,,,,,18.4,,,,,,,5.9,,17.53,
1.5,32.5,,,,,,,,22,,,,,,,19.6,,17.53,
44.3,50.7,,,,,,,,17.7,,,,,,,12,,17.53,
45,35.3,,,,,,,,30,,,,,,,13,,17.53,
63.8,29.1,,,,,,,,31.0,,,,,,,10.3,,17.53,
53.9,29.9,,,,,,,,25.4,,,,,,,13.2,,17.53,
75.6,29.5,,,,,,,,28.3,,,,,,,16.2,,17.53,
77.3,27.6,,,,,,,,21.9,,,,,,,19.9,,17.53,
76.1,34.1,,,,,,,,28.4,,,,,,,17,,17.53,
72.1,35,,,,,,,,32.6,,,,,,,17.5,,17.53,
99.6,33,,,,,,,,28.3,,,,,,,7.7,,17.53,
80.4,38.4,,,,,,,,29.2,,,,,,,15.6,,17.53,
65.3,26.1,,,,,,,,29.4,,,,,,,10.3,,17.53,
80.4,22.4,,,,,,,,31.9,,,,,,,19.6,,17.53,
71.5,25.9,,,,,,,,33.5,,,,,,,18.2,,17.53,
83.3,27.7,,,,,,,,27.3,,,,,,,19.3,,17.53,
77.1,23,,,,,,,,24.8,,,,,,,13.2,,17.53,
