Scientific name,common name ,weight
gobidae sp,goby,16.7
gobidae sp,goby,16
gobidae sp,goby,14
gobidae sp,goby,13.2
gobidae sp,goby,10.6
gobidae sp,goby,11
gobidae sp,goby,31
gobidae sp,goby,28.3
gobidae sp,goby,20.2
gobidae sp,goby,21
gobidae sp,goby,15.6
gobidae sp,goby,23.7
gobidae sp,goby,16.8
gobidae sp,goby,22.3
gobidae sp,goby,6.4
gobidae sp,goby,8.5
gobidae sp,goby,10.3
gobidae sp,goby,7.8
gobidae sp,goby,34.5
gobidae sp,goby,22.3
gobidae sp,goby,11.5
gobidae sp,goby,13.1
gobidae sp,goby,19.3
gobidae sp,goby,16.8
gobidae sp,goby,16.2
gobidae sp,goby,26.4
gobidae sp,goby,10.9
gobidae sp,goby,23.5
gobidae sp,goby,17.8
gobidae sp,goby,13.7
gobidae sp,goby,19.5
gobidae sp,goby,14.9
gobidae sp,goby,16
gobidae sp,goby,7.1
gobidae sp,goby,7.1
gobidae sp,goby,12.6
gobidae sp,goby,16
gobidae sp,goby,19.5
gobidae sp,goby,21.1
gobidae sp,goby,21.5
gobidae sp,goby,15.6
gobidae sp,goby,3.3
gobidae sp,goby,4.3
gobidae sp,goby,4.8
gobidae sp,goby,13.1
gobidae sp,goby,4.7
gobidae sp,goby,6
gobidae sp,goby,4.8
gobidae sp,goby,6.3
gobidae sp,goby,22.2
gobidae sp,goby,18.6
gobidae sp,goby,5.5
gobidae sp,goby,9.8
gobidae sp,goby,12.8
gobidae sp,goby,11.2
gobidae sp,goby,9.5
gobidae sp,goby,6.2
gobidae sp,goby,8
gobidae sp,goby,6.4
gobidae sp,goby,7
gobidae sp,goby,8.4
gobidae sp,goby,5.8
gobidae sp,goby,1.7
gobidae sp,goby,4.6
gobidae sp,goby,14.8
gobidae sp,goby,3.7
gobidae sp,goby,3
gobidae sp,goby,12
gobidae sp,goby,5.4
gobidae sp,goby,6.4
gobidae sp,goby,5.7
gobidae sp,goby,5.9
gobidae sp,goby,19.6
gobidae sp,goby,12
gobidae sp,goby,13
gobidae sp,goby,10.3
gobidae sp,goby,13.2
gobidae sp,goby,16.2
gobidae sp,goby,19.9
gobidae sp,goby,17
gobidae sp,goby,17.5
gobidae sp,goby,7.7
gobidae sp,goby,15.6
gobidae sp,goby,10.3
gobidae sp,goby,19.6
gobidae sp,goby,18.2
gobidae sp,goby,19.3
gobidae sp,goby,13.2
gobidae sp,goby,18.4
gobidae sp,goby,10.1
gobidae sp,goby,21.5
gobidae sp,goby,10
gobidae sp,goby,17.1
